aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
sucrose= साखर, , |
suction= हवा इ.वर खेचून घेण्याची क्रिया , , |
suctorial= शोषणयोग्य , चोख्ण्याजोगा, |
sudden= घामासंबंधीचा, , |
sudor= आकस्मित , अचानकपणे घडणारा , |
suds= घामाचे , घामासंबंधी, |
sue= च्या वर फिर्याद , दावा लावणे , केस करणे|
suede= कातडीच्या आतील मांसयुक्त भागाच्या बाजूस मलमलीसारखे मऊ कमावलेले चामडे , , |
suet= मेंढी व बैल यांच्या मुत्रपिंडाभोवतालची चरबी , , |
suffer= अनुभवणे, भोगणे, |
sufferance= मूक संमती , , |
suffering= भोग , दु:ख , व्यथा|
sufferer= दु:खी , त्रस्त , |
suffice= पुरेसा असणे, पुरे होणे, |
sufficiency= पुरेपणा , , |
sufficient= पुरेसा , आवश्यक तेवढा, |
suffix= शब्दांपुढे जोडण्याचा प्रत्यय , , |
suffocate= गुदमरणे, , |
suffragan= सहाय्यक, , |
suffrage= मताधिकार, , |
suffragette= स्त्रियांना मताधिकार मिळावा यासाठी चळवळ करणारी महिला, , |
suffuse= पृष्ठभागावर किंवा पृष्ठभामधून हळूहळू पसरणे, , |
sugar= साखर, , |
sugar-coat= साखरेच्या पाकात घोळवणे, , |
sugar daddy= मैत्री किंवा विषयवासनेच्या हेतूने तरुण स्त्रीवर अनेक मौल्यवान भेटवस्तू पैसे इ.ची खैरात करणारा मध्यमवयीन माणूस, , |
sugary= साखरेचा , साखरेसारखा किंवा साखरयुक्त, |
suggest= सूचना करणे, विचारार्थ मांडणे, |
suggestible= ची सूचना करण्यास योग्य, , |
suggestion= सूचना , प्रस्ताव , विचारार्थ मांडलेली गोष्ट|
suggestive= चा सूचक, , |
suicide= आत्महत्या, , |
sui generis= एकमेव , अलौकिक, वैशिष्ट्यपूर्णरित्या वेगळा|
suit= एकाच प्रकारच्या कपड्यांचा संच , सुट, |
suit= जुळवून घेणे, , |
suitable= योग्य , सोयीस्कर , अनुरूप|
suitcase= प्रवासात उपयुक्त अशी कपडे इ.ठेवण्याची छोटी पेटी , , |
suite= विशिष्ट खोलीतील फर्निचरचा एकत्रित शोभणारा संच, , |
suitor= पक्षकार, , |
sulk= फुरंगटणे, रुसणे, दुर्मुखलेले|
sulky= रागाने घुमसत असलेला, , |
sulky= दुचाकी वजनाने हलकी अशी एका घोड्याची गाडी, , |
sullage= घाण , कचरा विशेषत: मैला , |
sullen= दुर्मुखलेला , घुमा, |
sully= कलंक , डाग फासणे, खराब करणे|
sulpha drug= रोगजंतुनाशक गंधकयुक्त ओषध, , |
sulphate= सल्फुरिक असिडचे क्षार, , |
sulphide= गंधक व दुसरे मौल याचे संयुग, , |
sulphonamides= रोगजंतुनाशक गंधकयुक्त ओषध, , |
sulphur= गंधक , , |
sultan= काही मुस्लीम देशातील राज्यकर्ता, , |
sultana= एक प्रकारचा विरहीत बेदाणा, , |
sultry= उष्ण व दमट, , |
sum= बेरीज, , |
summarize= चा सारांश करणे, , |
summary= सारांश, संक्षेप, |
summation= बेरीज, गोळाबेरीज, |
summer= उन्हाळा, , |
summing-up= प्रमुख मुद्द्याचा सारांश , समालोचन, |
summit= शिखर , कळस, |
summon= विशिष्ट ठिकाणी विशिष्ट कामाकरिता हजर राहा म्हणून फार्मावने, , |
summons= विशिष्ट वेळी विशिष्ट ठिकाणी स्वत:जातीचे हजर राहण्याचा दिलेला हुकुम, , |
summum bonum= परम कल्याण, , |
sump= पेट्रोल इंजिनाचे आतील बाजूचे वंगणयुक्त आवरण, , |
sumptuary= खर्चाच्या नियमनविषयी , व्ययनियमनविषयक, |
sumptuous= भव्य दिमाखदार , , |
sun= सूर्य, , |
sunbaked= सूर्याच्या उष्णतेने कोरडे झालेले  किंवा भेगा पडलेले , , |
sun bath= सूर्यस्नान , उन्हात उघडे बसून अंगावर ऊन घेण्याची क्रिया, |
sunbathe= सूर्यस्नान  घेणे, , |
sunbeam= सूर्यकिरण, , |
sun blind= सूर्याच्या प्रखर उन्हापासून संरक्षक देणारी अशी खिडकीवरील पद्द्यासारखी जाळी, , |
sunbonnet= डोके व मान यांचे उन्हापासून रक्षण करण्यासाठी वापरण्यात येणारी टोपी, , |
sunbow= पण्याच्या फवार्यातून,तुषारातून  जाणाऱ्या सूर्यप्रकाशामुळे निर्माण होणारी सप्तरंगी कमान, , |
sunburn= सूर्याच्या उन्हात फार वेळ उघड्याने बासल्यामुळे कातडीला आलेली सूज, , |
sunburst= मेघाच्छादित आकाशात अकस्मात मेघ दूर होऊन पडलेला सूर्याचा प्रखर प्रकाश, , |
sun-cured= सूर्याच्या उन्हात वळवून टिकवलेले, , |
Sunday= रविवार, , |
sun deck= प्रवाशी जहाजाचा वरच्या मजल्याचा उघडा भाग , , |
sundial= सूर्यप्रकाशामुळे पडलेल्या सावलीवरून वेळ दाखवणारे घड्याळ , , |
sundown= सूर्यास्त, , |
sun-drenched= सूर्याची उष्णता व प्रकाश जेथे भरपूर प्रमाणात आहे असा , , |
sun-dried= सूर्याच्या उन्हात वळवणे, , |
sun-dry= उन्हात वाळवणे, , |
sundry= निरनिराळे, विविध , फुटकळ|
sunfast= सूर्यप्रकाशात फिकट न होणारा, , |
sunflower= सूर्यफुलाचे झाड, , |
sung= SING चे भू.का.धा रूप, , |
sunglasses= प्रखर उन्हापासून संरक्षण देणारा काळ्या काचांचा चष्मा , , |
sun hat= उन्हापासून डोक्याला संरक्षण मिळेल अशी टोपी, , |
sunk= खोल गेलेला , आत बसलेला, |
sun lamp= अल्ट्राव्हायोलेट किरण देणारा.सोडणारा दिवा, , |
sunless= प्रकाशहीन, अंधकारमय, |
sunlight= सूर्यप्रकाश , , |
sunlit= सुर्याप्रकाशित, , |
sun lounge= जास्तीत जास्त भरपूर सूर्यप्रकाश खेळत असतो अशी खोली, , |
sunny= भरपूर सूर्यप्रकाश असणारा, , |
sunrise= सूर्योदय, , |
sunroof= सूर्यप्रकाश आत येण्यासाठी पुढेमागे सरकवता येणारे मोटारीवरील छप्पर, , |
sunset= सूर्यास्त, , |
sunshade= उन्हापासून रक्षण देणारी छत्री, , |
sunshine= सूर्यप्रकाश, , |
sunspot= सूर्याच्या पृष्ठभागावर दिसणारा काळा डाग, , |
sunstroke= उष्माघात, तीव्र उन्हामुळे येणारी तिरमिरी, |
suntan= सूर्यप्रकाशामुळे त्वचेला येणारा काळसर तपकिरी वर्ण, , |
suntrap= भरपूर सूर्यप्रकाश असलेली निवाऱ्याची, , |
sun visor= वाहनचालकांच्या डोळ्यांना प्रखर उन्हापासून त्रास होऊ नये यासाठी वाहणाच्या पुढील काचेला लावलेली काळसर रंगाची वर खाली करता येणारी झडप, , |
sunward= सूर्याच्या दिशेने सरकणारा , , |
sunwards= सूर्याच्या दिशेने , , |
sunwise= सूर्याच्या दिशेने , , |
sunworship= सूर्योपासना  , सूर्यदेवाची पूजा, |
sup= रात्रीचे जेवण घेणे, , |
sup= घुटके घेत पिणे, , |
super= उत्कृष्ट, , |
superable= मत करता येण्यासारखा, , |
superabundance= खूप रक्कम, , |
superannuate= नियत वयोमानानुसार निवृत्त करणे, , |
superannuated= नियत वय झाल्याने किंवा आजारपणामुळे निवृत्तिवेतन देऊन सेवेतून कमी केलेला , , |
superannuation= नियत वयानुसार सेवानिवृत्त, , |
superb= उत्कृष्ट , अत्युत्तम , भव्य|
superbaza(a)r= फार मोठे असे वस्तुभांडार, , |
supercargo= व्यापारी जहाजावरील व्यापारविषयक बाबींची देखभाल करणारा जहाजाचा अधिकारी, , |
supercharger= इंजिनच्या सिलिंडरमध्ये जादा हवा सोडणारे यंत्र, , |
supercilious= उद्दाम मिजासखोर , घमेंडी , अध्याताखोर|
super-duper= प्रभावी , प्रसन्न, उत्कृष्ट|
superego= सदसदविवेकबुद्धी, , |
supererogation= कर्तव्य आहे त्यापेक्षा किंवा अपेक्षेपेक्षा अधिक केलेले काम, , |
supererogatory= आवश्यकतेपेक्षा , कर्तव्यापेक्षा अधिक केलेले, |
superficial= वरवरचा , उथळ, |
superfine= अत्यंत तलम , अत्युत्कृष्ट , |
superfluity= अतिरिक्तता, , |
superfluous= जादा , वाजवीपेक्षा जास्त , भरमसाट|
supergiant= सूर्यापेक्षा हजारो पटीने तेजस्वी व आकाराने मोठे असलेल्या अनेक तारयापैकी एक तारा, , |
supergrass= पोलिसांना अट्टल गुन्हेगारांच्या हालचालींविषयी माहिती पुरवून अनेक गुन्हेगारांना पकडून देणारा खबऱ्या, , |
superhero= मनोरंजन चित्रकथा चित्रमालिका चित्रपट इ.मधील अतिमानवी अद्धुत सामर्थ्य असलेला दृष्टांविरुद्ध लढणारा नायक असे पात्र, , |
superhighway= प्रत्येक दिशेला दोन अगर अधिक मार्ग असलेला व ज्यावरून वाहणे फार मोठ्या वेगाने हाकता येतात असा महामार्ग, , |
superhuman= अतिमानवी, , |
superimpose= अध्यारोपण करणे, , |
superintend= पर्यवेक्षण , अधीक्षक करणे, |
superintendent= व्यवस्थापक , अधीक्षक , |
superior= च्यापेक्षा वरच्या दर्जाचा , वरिष्ठ, |
superiority= श्रेष्ठत्व , प्राबल्य , वर्चस्व|
superlative= उत्कृष्ट दर्जाचा , , |
superman= अत्यंत बुद्धिमान व अतिमानवी , अद्भुत सामर्थ्याची पुरुष , |
supermarket= विविध जीवनावश्यक वस्तू विकणारे , , |
supermodel= फशनजगतातील अत्यंत यशस्वी माडेल, , |
supernal= स्वर्गीय , दिव्य, |
supernatural= अलौकिक , दैव्य, अद्भुत|
supernormal= सामान्यापेक्षा , नेहमीपेक्षा फार वेगळा , अधिक|
supernova= अचानक विध्वंसक स्फोट पावणारा नवतारा, , |
supernumerary= जादा , विशिष्ट संख्येपेक्षा अधिक, |
superpower= महासत्ता, अत्यंत प्रभावशाली, बलाढ्य|
superscribe= वरच्या बाहेरच्या भागावर पत्ता इ.लिहिणे, , |
superscript= पत्राच्या किंवा रेषेच्या वरच्या भागावर लिहिलेला , , |
supersede= ची जागा घेणे , च्या जागी बसवणे, |
supersonic= स्वनातीत, , |
superstar= अत्यंत लोकप्रिय अभिनेता गायक खेळाडू इत्यादी, , |
superstition= अंधश्रद्धा, लोकभ्रम , अज्ञाताबद्दल वाटणारी अनामिक भीती |
superstructure= एखाद्या बांधकामावर रचलेले बाधकाम , , |
supertax= अधिकर , अतिरिक्त कर , विशिष्ट पटळी पेक्षा अधिक मिळकतीवर आकारला जाणारा जादा आयकर |
supervene= नेहमीपेक्षा  वेगळे , अनपेक्षित अशी घटना आकस्मितपणे , नव्याने घडणे|
supervise= च्यावर देखरेख करणे, पर्यवेक्षक , देखरेख|
supervision= पर्यवेक्षण , देखरेख , |
supervisor= पर्यवेक्षण , देखरेख , लक्ष ठेवणारा|
supine= उताणा, , |
supper= रात्रीचे जेवण , , |
supplant= ची जागा घेणे , च्या ऐवजी येणे, |
supple= लवचीक, नरम, |
supplement= पुरवणी , परिशिष्ट, |
supplementary= जादा , अवांतर, |
suppliant= विनवणी, याचना, प्रार्थना करणारा|
supplicate= नम्रपणे विनंती करणे, , |
supplication= नम्र याचना, , |
supply= पुरवठा करणे, उपलब्ध करणे, |
support= आधार देणे, टेकू देणे, उचलून धरणे|
supportable= आधार देता येण्यासारखे, , |
supporter= पाठीराखा , पाठिंबा देणारा, |
supporting= साहाय्यक भूमिका करणारा, , |
supportive= आधार, पाठिंबा देणारा, |
suppose= गृहीत धरणे, समजून चालणे, मानणे|
supposed= ग्राह्य , सत्य म्हणून गृहीत धरलेला, |
supposing= जर , असे मानले तर, |
supposition= कल्पना, , |
suppository= गुदद्वार योनिद्वार इ.मध्ये ठेवण्याचे विद्राव्य कुपीतील औषध, , |
suppress= दाबून टाकणे, दडपणे, |
suppression= दडपाडपी , दमन , बिमोड|
suppressive= दडपशाहिचे , दडपून टाकण्यासाठी केलेले , |
suppressor= दडपून, दाबून टाकणारी, दडपशाही करणारी व्यक्ती|
suppurate= पू होणे, पिकणे, |
supra= वरचा, च्यापेक्षा अधिक, |
supranational= अधिराष्ट्रीय, एकापेक्षा अधिक राष्ट्रांसंबंधीचा, |
supremacy= सर्वश्रेष्ठ सत्ता किंवा अधिकार, , |
supreme= दर्जाचे सर्वोच्च , सर्वश्रेष्ठ, |
supremo= सर्वंकष सत्ता व सर्वाधिकार हाती असलेली व्यक्ती , सर्वेसर्वा, |
surcharge= जादा आकार , अधिभार, |
surd= एखाद्या पूर्णांकाचे अपरिमेय मूळ, , |
sure= नाक्कीचा , खात्रीचा , निश्चित|
surely= खात्रीने, नि:संशयपणे, |
surety= तारण , हमी , जामीन|
surf= फेनलहरी, समुद्रकिनाऱ्यावर फुटणाऱ्या फेसाळ लाटा, |
surface= वस्तू इ.चा बाह्यभाग , दर्शनी भाग , पृष्ठभाग|
surfeit= अवाजवी प्रमाण, अतिरेक, रेलचेल|
surge= लाट, उर्मी, |
surgeon= शल्यविशारद, सर्जन, |
surgery= शस्त्रक्रिया, शल्यक्रिया, |
surgical= शस्त्रक्रियेची, शस्त्रक्रियेसंबंधी, |
surly= चिडका, चिडखोर, तुसडा|
surmise= अटकळ, तर्क, |
surmount= ओलांडणे, पार करणे, मात करणे|
surname= आडनाव, कुटुंबाचे नाव, |
surpass= अधिक चांगले, सरस करणे, |
surpassing= अतुलनीय, सर्वाना मागे टाकणारा, |
surplice= रुंद बाह्या असलेलासैल झग्यावर घालण्यात येणारा डगला, , |
surplus= उरणारी शिल्लक रक्कम किंवा माल इ. , , |
surprise= आश्चर्य, विस्मय, |
surreal= अजब, अमूर्त, स्वप्नवत|
surrealism= अतिवास्तववाद, , |
surrender= शरण जाणे, स्वाधीन होणे, |
surreptitious= चोरून केलेली, , |
surogate= बिशपचा प्रातिनिधिक दुय्यम, , |
surround= वेढणे, घेरणे, गराडा घालणे|
surround= सुशोभित कडा, , |
surrounding= सभोवतालचा प्रदेश,लोक,निसर्ग,परिस्थिती इ., , |
sorroundings= सभोवतालचा प्रदेश निसर्ग परिस्थिती इ. , परिसर, |
surtax= विशिष्ट मर्यादेपेक्षा अधिक मिळकतीवर बसवलेला जादा कर , , |
surveillance= संशयितावर ठेवलेली पाळत, , |
survey= सामान्य , तपासणी , आढावा|
surveyor= सर्वेक्षक , भूमापक, |
survival= तग, टिकाव, जिवंत राहणे|
survive= च्या मागे जिवंत राहणे, बचावणे, |
survivor= महान आपत्तीतून जिवंत राहिलेला , तग घरून राहिलेला व्यक्ती, |
sus= सशयित गुन्हेगार, , |
susceptibility= संवेदनशीलता, , |
susceptible= संवेदनाक्षम, भावनाप्रणव, कोमल मनाचा|
suspect= तर्क असणे, शक्यता असणे, |
suspend= लोंबत ठेवणे, टांगणे, |
suspender= पायमोजा वर राहावा यासाठी असलेला बंद, , |
suspence= अनिश्चिततेमुळे वाटणारी चिता, , |
suspension= स्थगिती , तात्पुरते निलंबन, |
suspicion= संशय, शंका , वहीम|
suspicious= साशंका , संशयग्रस्त, |
suss= लक्षात येणे, समजणे, |
sustain= चालु ठेवणे, , |
sustenance= अन्नातील पौष्टीकता , , |
suture= जखम शिवल्यावर तयार होणारी शिवण, , |
suzerain= मांडलिक राज्यांचा सत्ताधीश , , |
suzerainty= अधिराज्य, , |
svelte= सडपातळ व मोहक, , |
swab= जमीन पुसण्यासाठी दांडीला बांधलेले पोतेरे, , |
swaddle= लांब कपड्यात घट्ट गुडाळून उबेत ठेवणे, , |
swag= चोरीचा माल , लुट, |
swagger= तोऱ्यात चालणे किंवा वागणे, , |
swallow= गिळणे, , |
swallow= आकाराने लहान चपळ असा पक्षी , , |
swam= swim चे भू.का.रूप, , |
swamp= दलदलीचा प्रदेश, , |
swan= हंस पक्षी, , |
swank= बढाई मारणे, तोऱ्यात बोलणे, |
swap= वस्तूची अदलाबदल, देवाणघेवाण करणे, |
sward= खुरट्या गवताने आच्छादलेला प्रदेश , , |
swarm= मोहोळ , घोळका , थवा|
swarthy= कृष्णवर्णी , काळसर वर्ण असलेला, |
swash= खळखळाट होणे, , |
swashbuckler= अविचाराने वागणारी बढाईखोर व्यक्ती, , |
swat= हाताने किंवा चापट्या वस्तूने फटका मारून चिरडणे, तडाखा देणे, |
swath= विळ्याचा किंवा कापणीयंत्राच्या पत्याचा एका फटकारयाचा आवाका, , |
swathe= घट्ट गुंडाळून बांधने, , |
sway= एका बाजूकडून दुसऱ्याबाजूकडे हेलकावे खाणे, , |
swear= शपथेवर सांगणे, , |
swearword= शिवी , अपशब्द, |
sweat= घाम, , |
sweater= स्वेटर, , |
sweaty= घामाने थबथबलेला , घामेजलेला, |
sweep= केरसुणीने झाडणे, धूळ साफ करणे, |
sweeper= रस्ते झाडणारा झाडूवाला, , |
sweeping= दूरगामी, , |
sweepstake= एक प्रकारचा जुगार , , |
sweet= साखरेच्या चवीचा , गोड, |
sweetbread= वासराचे किंवा कोकराचे स्वादुपिंड, , |
sweeten= गोड करणे, , |
sweetening= अन्नपदार्थ गोड करणारा पदार्थ, , |
sweetheart= प्रियकर किंवा प्रेयसी, , |
sweetish= काहीसा गोड, गोडसर, |
sweetly= मोहकपणे, गोडव्याने, मधूरपणे|
sweetmeat= गोड खाऊ , मिठाई, |
sweetness= गोडी , माधुर्य, |
sweet oil= गोडेतेल, , |
sweet potato= रताळे, , |
sweet-talk= एखाद्याची खुशामत करणे, मनधरणी करणे, लाडीगोडी लावणे|
swell= वाढणे, विस्तारणे, विस्तार करणे|
swelter= उष्णतेने अंगाची लाही लाही होणे, घामाघूम होणे, |
swept= sweep चे भू.का.व भू.का.धा.रूप, , |
swerve= दिशा एकदम , झटकन वळणे, |
swift= वेगवान , चपळ, जलद|
swig= मोठा घुटका घेणे, , |
swill= भरपूर पाणी ओतून स्वच्छ करणे, , |
swim= पोहणे, , |
swimming= जलतरण, पोहणे, |
swimmingly= यशस्वीपणे व विनासायास , सहजगत्या , |
swindle= फसवणे, , |
swine= डुक्कर , , |
swing= हेलकावे खाणे , मागेपुढे होणे, |
swingeing= जोरदार , तडाखेबंद, |
swinger= आधुनिक विचारसरणीची व उस्ताही व्यक्ती, , |
swinging= आनंदी , भपकेबाज जीवनाची आवड असणारा, |
swipe= टोलवणे, जोराचा तडाखा देणे, |
swirl= गरगर फिरणे, , |
swish= फूस फूस असा आवाज करीत फिरणे, , |
switch= विद्युतमंडळ जोडण्याचे किंवा बंद करण्याचे बटन, , |
swivel= गरकन फिरवणे, वळणे, |
swizz= फसवणूक , लबाडी , |
swizzle= फेसाळलेले मिश्रमद्य, , |
swob= जमीन पुसण्यासाठी दांडीला बांधलेले पोतेरे, , |
swollen= swell चे भू.का.धा.रूप, , |
swoon= घेरी येणे, मूर्च्छा येणे, |
swoop= हेवेतून झेप घेणे, सूरकांडी मारणे , |
swoosh= सळसळ आवाज होणे, , |
swop= वस्तूची अदलाबदल, देवाणघेवाण करणे, |
sword= तलवार, , |
swore= swear चे भू.का.रूप, , |
sworn= swear चे भू.का.रूप, , |
swot= शपथेवर वचनबद्ध असलेले, , |
swum= swim चे भू.का.रूप, , |
swung= swing चे भू.का.धा. रूप , , |
sybarite= चैन विषयोपभोग इ.बाबत आसक्त  , विलासी, |
syce= घोड्याची निगा राखणारा मोतद्दार , साइस, |
sycophant= खूषमस्करया , मोठ्या लोकांची खुशामत , हांजी हांजी करणारा|
syllabicate= शब्दाचे अवयव पाडणे, , |
syllable= शब्दावायाव, उच्चारावयव, |
syllabus= अभ्यासक्रम, , |
syllogism= ज्यांमध्ये दोन विधानांवरून निष्कर्ष किंवा अनुमान काढतात अशी तर्कपद्धती, असा तर्कशास्त्रीय युक्तिवाद , |
syllogize= दोन विधानांवरून अनुमान काढण्याच्या पद्धतीचा अवलंब करणे, , |
sylph= सुंदर सडपातळ तरुणी, वायुदेवता, वायुपरी|
sylvan= वानासंबंधीचा , वन्य, |
sylvatic= वनात वाढणारे, वनात राहणारे किवा घडणारे, |
symbiosis= दोन भिन्न जातींच्या प्राण्यांचे किवा वनस्पतींचे परस्परावलंबी सहजीवन, परस्परांना हिताचे, लाभदायक|
symbol= चिन्ह, , |
symbolic= प्रतीकात्मक, सूचक, लक्षणिक|
symbolize= प्रतीकांचा वापर करणे, प्रतीकांना व्यक्त करणे, |
symbology= प्रतीकांचा वापर , अभ्यास किंवा त्यांचे स्पष्टीकरण , |
symmetric= प्रमाणबद्ध, समरूप, बांधेसूद|
symmetry= सममिती, समरूपता, प्रमाणबद्धता|
sympathetic= सहानुभूती दाखवणारा, सहानुभूतीपूर्ण, सहानुभूतीपूर्वक|
sympathize= सहानुभूती वाटणे , व्यक्त करणे, समर्थक|
sympathy= सहानुभूती, अनुकंपा, पाठिंबा|
symphony= वृन्दावानाच्या संपूर्ण कार्यक्रमासाठी असलेले संगीत, स्वरमेळ, कोणत्याही प्रकारचा सुयोग्य मिलाफ|
symposium= एखाद्या विषयावर निरनिराळ्या विचारवंतांचे एकत्र केलेले निबंध , एखाद्या विषयावर चर्चा करण्यासाठी बोलावलेली सभा, |
symptom= खूण, चिन्ह , रोगाचे लक्षण|
synagogue= ज्यू लोकांचे उपस्नास्थान , तेथे जन्मलेले उपासक, |
synchronize= एकाच वेळी घडून येणे , घडवून आणणे , गती|
synchronous= एकाच वेळी घडणारे , , |
syncopate= सूर ताल इ. चा ठेका किंवा बोल बदलणे, संक्षेप करणे , त्रोटक करणे |
syncope= बेशुद्धावस्था  , शब्दांमधील ध्वनी किंवा अक्षराचा लोप, |
syndicalism= उद्योग धंद्यातील उत्पादन विक्री , यातून निर्माण होणारी अर्थव्यवस्था , अशी क्रांतिकारक प्रणाली किंवा चळवळ|
syndicate= संयुक्त प्रकल्प कार्यकारी इ. कार्यासाठी संगठित झालेला व्यापारी मंडळींचा संघ , नियतकालिकांना लेख चित्रे इ. पुरवठा करणारी व्यवसायिक संघटना , व्यापारविषयक संघ करणे |
syndrome= विशिष्ठ विकृती दर्शवणार्या , विशिष्ठ व्यक्ती , एकाच वेळी घडून येणरी लक्षणे |
synecdoche= उपलक्षण अलंकार, अंशाकरिता पूर्ण व पुर्णाकरिता अंशाचा उल्लेख करणारी अलंकारिक रचना, |
synergy= दोन किंवा अधिक लोक , जोश यश इ. सामूहिक ताकद , |
synod= धोरण इ. बाबत निर्णय घेण्यासाठी भरलेली धर्माधिकार्यांची सभा, , |
synonym= पर्यायी किंवा समानार्थी शब्द , प्रतिशब्द , |
synonymous= समानार्थक , साम्यसूचक  , सामानार्थाने |
synposis= सारांश , रूपरेषा , रूपरेखा तयार करणे |
synoptic= संक्षिप्त, सारभूत, सारांश देणारा |
syntax= वाक्यरचनेचे नियम  , वाक्यरचना , वक्यारचनेसंबंधीचा  |
synthesis= संयोग , एकीकरण, एकत्रीकरण |
synthesize= संयोगीक्रीयेबाबतचा   , सामासिक, शब्दाप्रचुर |
syphilis= उपदंश , गर्मी , गर्मी झालेला|
syringe= इंजेक्शन देण्याचे साधन , पिचारीने धुणे , पिचकारीने इंजेक्शन देणे |
syrup= सरबत , साखरेचा पाक, औषधी पाक|
systaltic= आळीपाळीचे अंकुचन व प्रसरण पावणारे  , धाधडणारे  , |
system= यंत्रणा , व्यवस्था , रचनाबद्ध संस्था |
systematic= नीटनेटका , पद्धतशीर , काळजीपूर्वक आखलेला |
systematize= रचनाबद्ध करणे , पद्धतीशीरपणा , व्यवस्थितपणा |
systemic= एकूण शरीररचनेसंबंधी, सर्व शरीरावर परिणाम करणारा, वनस्पतीच्या सर्व भागात पसरणारे |
systems analysis= व्यस्था विश्लेषण , संघटनेच्या योजना अथवा विशिष्ट कार्य पूर्ण करण्यासाठी लागणार्या माहितीची विश्लेषण करणारी कार्यप्रणाली भरावयाच्या कार्यपद्धती  , |
systole= ह्रदयाचे आकुंचन  , हृदयाच्या अकुंचनासंबंधीचा  , |
T= इंग्रजी वर्णमालेतील २० वे अक्षर, T आकाराचे वास्तुपुर्वी या अक्षराचा वापर वापर करतात, |
ta= आपला आभारी आहे' या आशयाचा उदगार, , |
tab= कपड्यावर शिवलेली, लावलेली, लटकवलेली खुणेची फीत किंवा कपडा  , खुणेच्या कागदाच्या तुकडा, हॉटेलमधील जेवण |
tab= खुणेची फीत इ. जोडणे, , |
tab= tablet किंवा tabulator चे संक्षिप्त रूप , , |
tabard= चिलखतावर घालायचा बिनबह्याचा अंगारेखा , , |
tabaret= रेशमी किंवा रेशमासारखे दिसणारे अ त्यावर पट्टे असलेले जड कापड, , |
Tabasco= लाल मिरची पासून बनवलेले झणझणीत तोंडी लावणे , , |
tabby= चट्टेपट्टे असणारी मांजर , गोष्टीवेल्हाळ, गप्पिष्ट म्हातारी  , |
tabernacle= तंबू किंवा हलक्या बांधणीची हलवता येण्याजोगी झोपडी , तात्पुरते वसतीस्थान, मानवी देह |
tabescent= उत्तरोत्तर खंगत जाणारा  , अधिकाधिक कृश होत जाणारा , |
table= टेबल, मेज, तक्ता|
tableau= मूक आणि स्तब्ध नटांच्या समूहाने सदर केलेला देखावा , प्रभवी नाट्यपूर्ण प्रसंग, |
tablecloth= टेबलावर घालण्याचे कापड, , |
table d'hote= ठरावीक किमतीत मर्यादित पदार्थ मिळणारे जेवण, , |
table-knife= जेवण जेवताना वापरण्याची सुरी, , |
table lamp= तेबलापुर्ता मर्यादित प्रकाश देणारा विजेचा दिवा, , |
tableland= पठार , पठार प्रदेश, |
table licence= फक्त जेवणाच्या वेळी मद्य पुरवण्याचा अधिकृत परवाना , , |
table-lifting= परलोकविद्याप्रयोगात मृतांशी संपर्क साधताना घडून येणारी टेबल उचललेले जाण्यची क्रिया , , |
table-linen= जेवणाच्या टेबलावरील चादरी, , |
table mat= जेवण्याच्या टेबलावरील गरम पदार्थाने भरलेल्या बशीखाली ठेवायची रबर किंवा वेत इ. ची चकती, , |
table money= पाहुणे,अशील,इ.च्याआगतस्वागतावर खर्च करण्यासाठी मिळालेला भत्ता, , |
table-rapping= परलोकविद्याप्रयोगात मृतात्म्याशी संपर्क साधताना होणारा टेबलाचा आवाज, , |
table salt= जेवत असताना वापरले जाणारे मीठ, , |
tablespoon= अन्न्वाढप करण्याचा चमचा, , |
tablet= औषधाची वडी, , |
table talk= जेवण्याच्या वेळच्या गप्पा, , |
table tennis= टेबल टेनिसचा खेळ, , |
table-turning= परलोकविद्याप्रयोगात मृतात्म्यांशी संपर्क साधताना टेबल वरउचलले जाणे, , |
tableware= जेवताना वापरण्यात येणारी बश्या,ताटे,काटेचमचे,इ.साधने, , |
table wine= भोजनाचे वेळी पिण्यास योग्य मानले जाणारे ,मद्य, , |
tabloid= सनसनाटी बातम्या ,भडक मथळे,भरपूर चित्रे असलेलेछोट्या आकारातील नियतकालिक, , |
taboo= मनाई, निषेध, |
taboret= तिवई, घडवंची, |
tabular= तक्त्याच्या स्वरुपात मांडलेला, , |
tabulate= तक्त्यांच्या स्वरुपात, तक्त्यात, तालिकेत माहिती मांडणे|
tacheometer= जमिनीचे अंतर,दिशा,पातळी,इ.झपाट्याने मोजण्याकरिता वापरण्यात येणारे उपकरण, , |
tachograph= मोटारगाडीचा वेग व कापलेले अंतर यांची नोंद घेणारे मोटारीत बसवलेले साधन, , |
tachometer= चक्राकार गती मोजण्याचे उपकरण, , |
tacit= गर्भित, ध्वनित, गृहीत|
taciturn= मोजके बोलणारा, मितभाषी, अबोल|
tack= मोठे डोके असलेला लहान खिळा, , |
tack= अशवारोहणात वापरण्याचे साहित्य, , |
tack= निकृष्ट, बेचव अन्न, |
tackle= विशिष्ट व्यवसाय,इ.साठी आवश्यक साधन, , |
tacky= चिकट, ओला, |
tacky= गबाळ, गांवढळ, अशिष्ट|
tact= व्यवहारचातुर्य, , |
tactic= काही मिळवण्याचे साधन, डावपेच, हिकमत|
tactile= स्पर्शेद्रीयांसंबंधीचा, , |
tactual= स्पर्शविषयक, , |
